fastestLap;rank;fastestLapTime;fastestLapSpeed;resultId
47;8;1:21.793;192.823;212
15;3;1:21.493;193.533;213
64;4;1:21.537;193.428;214
65;5;1:21.638;193.189;215
70;9;1:21.941;192.475;216
67;10;1:22.125;192.043;217
67;11;1:22.183;191.908;218
67;16;1:22.732;190.634;219
63;13;1:22.397;191.409;220
67;18;1:23.307;189.319;221
57;12;1:22.397;191.409;222
68;15;1:22.641;190.844;223
65;14;1:22.436;191.319;224
16;2;1:21.355;193.861;225
29;17;1:23.220;189.516;226
29;19;1:23.650;188.542;227
17;20;1:24.222;187.262;228
36;1;1:38.708;197.637;229
16;2;1:38.884;197.285;230
38;4;1:39.330;196.399;231
19;3;1:39.112;196.831;232
37;12;1:39.657;195.755;233
36;6;1:39.485;196.093;234
54;8;1:39.535;195.995;235
35;10;1:39.577;195.912;236
57;7;1:39.526;196.013;237
35;11;1:39.639;195.790;238
29;9;1:39.544;195.977;239
27;14;1:40.264;194.570;240
21;18;1:40.763;193.606;241
54;15;1:40.353;194.397;242
56;13;1:39.803;195.469;243
56;16;1:40.593;193.933;244
13;19;1:40.978;193.194;245
34;5;1:39.424;196.214;246
28;17;1:40.661;193.802;247
26;3;1:48.222;232.987;249
36;7;1:49.067;231.182;250
20;2;1:48.135;233.175;251
25;9;1:49.238;230.820;252
16;8;1:49.086;231.142;253
36;5;1:48.965;231.399;254
31;6;1:49.002;231.320;255
34;10;1:49.515;230.236;256
37;12;1:50.255;228.691;257
35;4;1:48.223;232.985;258
19;11;1:50.177;228.853;259
32;15;1:50.656;227.862;260
27;13;1:50.487;228.211;261
35;17;1:50.970;227.218;262
19;16;1:50.671;227.832;263
32;14;1:50.543;228.095;264
17;19;1:51.701;225.731;265
24;1;1:47.930;233.618;266
10;20;1:52.072;224.983;267
12;18;1:51.118;226.915;268
53;14;1:30.510;230.414;269
53;13;1:30.300;230.950;270
52;12;1:30.298;230.955;271
51;9;1:29.961;231.820;272
53;6;1:29.807;232.217;273
52;4;1:29.696;232.505;274
52;5;1:29.721;232.440;275
52;3;1:29.681;232.544;276
53;1;1:28.047;236.859;277
53;16;1:30.918;229.380;278
53;8;1:29.948;231.853;279
53;11;1:30.215;231.167;280
52;15;1:30.853;229.544;281
53;10;1:30.019;231.671;282
52;7;1:29.827;232.166;283
49;17;1:32.459;225.557;284
42;19;1:33.918;222.053;285
52;2;1:29.258;233.646;286
51;18;1:33.458;223.146;287
6;20;1:37.304;214.326;288
55;3;1:45.768;172.464;289
39;5;1:46.454;171.352;290
14;4;1:46.072;171.969;291
50;8;1:47.044;170.408;292
13;9;1:47.271;170.047;293
14;11;1:47.306;169.992;294
41;13;1:47.562;169.587;295
13;10;1:47.287;170.022;296
61;15;1:48.128;168.700;297
14;12;1:47.337;169.943;298
14;6;1:46.899;170.639;299
29;14;1:47.820;169.181;300
13;2;1:45.757;172.482;301
28;16;1:49.101;167.195;302
14;1;1:45.599;172.740;303
32;7;1:46.972;170.523;304
38;18;1:49.270;166.936;305
13;17;1:49.183;167.069;306
13;19;1:50.320;165.348;307
13;20;1:50.449;165.154;308
41;3;1:19.101;207.668;309
16;7;1:19.292;207.168;310
66;2;1:18.995;207.947;311
54;4;1:19.199;207.411;312
18;9;1:19.524;206.564;313
21;12;1:19.617;206.322;314
55;1;1:18.426;209.456;315
30;13;1:19.820;205.798;316
67;8;1:19.461;206.727;317
49;6;1:19.262;207.246;318
66;10;1:19.531;206.545;319
65;11;1:19.560;206.470;320
66;16;1:20.575;203.869;321
66;17;1:20.849;203.178;322
32;15;1:20.364;204.404;323
20;19;1:21.577;201.365;324
12;5;1:19.258;207.257;325
6;18;1:21.189;202.327;326
4;14;1:20.254;204.685;327
13;1;1:36.325;203.722;329
36;4;1:36.591;203.161;330
14;2;1:36.483;203.389;331
56;5;1:36.659;203.018;332
56;3;1:36.498;203.357;333
56;7;1:36.854;202.610;334
56;6;1:36.727;202.876;335
56;8;1:36.996;202.313;336
55;9;1:37.212;201.863;337
27;14;1:37.753;200.746;338
56;16;1:37.845;200.558;339
54;17;1:38.019;200.202;340
36;12;1:37.452;201.366;341
10;13;1:37.680;200.896;342
38;10;1:37.246;201.793;343
54;15;1:37.773;200.705;344
54;18;1:38.372;199.483;345
32;11;1:37.302;201.677;346
13;19;1:39.683;196.860;347
2;20;2:39.612;122.945;348
36;1;1:13.736;210.377;349
39;8;1:14.229;208.980;350
59;3;1:14.117;209.296;351
25;7;1:14.214;209.022;352
31;4;1:14.159;209.177;353
32;2;1:14.057;209.465;354
36;6;1:14.207;209.042;355
40;5;1:14.167;209.155;356
40;14;1:15.033;206.741;357
41;10;1:14.652;207.796;358
61;9;1:14.375;208.570;359
35;12;1:14.934;207.014;360
59;11;1:14.759;207.498;361
57;13;1:14.951;206.967;362
35;16;1:15.414;205.696;363
60;17;1:15.773;204.721;364
50;18;1:15.865;204.473;365
36;15;1:15.212;206.249;366
41;1;1:25.235;223.978;369
20;2;1:26.314;221.178;370
20;3;1:26.351;221.083;371
37;6;1:26.722;220.137;372
18;7;1:26.892;219.707;373
28;8;1:27.044;219.323;374
40;5;1:26.721;220.140;375
42;12;1:27.796;217.444;376
45;13;1:28.034;216.857;377
44;10;1:27.592;217.951;378
17;14;1:28.098;216.699;379
20;18;1:28.487;215.746;380
21;9;1:27.501;218.178;381
44;15;1:28.282;216.247;382
42;17;1:28.387;215.991;383
41;19;1:28.489;215.742;384
40;20;1:28.687;215.260;385
24;16;1:28.303;216.196;386
44;11;1:27.706;217.668;387
19;4;1:26.642;220.341;388
22;21;1:28.953;214.616;389
9;22;1:30.899;210.022;390
42;2;1:36.861;206.014;391
22;1;1:36.701;206.355;392
40;4;1:37.228;205.237;393
55;5;1:37.417;204.838;394
42;3;1:37.199;205.298;395
44;9;1:37.879;203.872;396
40;10;1:38.016;203.587;397
41;7;1:37.810;204.015;398
19;8;1:37.864;203.903;399
55;14;1:38.540;202.504;400
32;15;1:38.566;202.451;401
54;16;1:38.658;202.262;402
37;13;1:38.496;202.595;403
54;18;1:39.098;201.364;404
52;19;1:39.243;201.070;405
32;20;1:39.566;200.417;406
21;12;1:38.447;202.695;407
53;17;1:38.874;201.820;408
18;6;1:37.704;204.237;409
28;11;1:38.098;203.416;410
5;21;1:41.495;196.608;411
42;1;1:34.067;207.120;413
18;2;1:34.270;206.674;414
39;3;1:34.357;206.483;415
38;5;1:34.470;206.236;416
46;4;1:34.420;206.346;417
46;6;1:34.819;205.477;418
40;7;1:35.153;204.756;419
51;8;1:35.200;204.655;420
27;10;1:35.475;204.065;421
51;11;1:35.556;203.893;422
27;16;1:35.992;202.966;423
37;15;1:35.845;203.278;424
50;14;1:35.842;203.284;425
40;20;1:37.184;200.477;426
45;19;1:36.772;201.330;427
27;17;1:36.111;202.715;428
37;12;1:35.705;203.575;429
34;9;1:35.384;204.260;430
23;18;1:36.359;202.193;431
23;13;1:35.723;203.537;432
14;1;1:22.680;202.685;435
20;2;1:22.876;202.205;436
17;3;1:22.966;201.986;437
20;5;1:23.129;201.590;438
18;8;1:23.524;200.636;439
60;10;1:23.693;200.231;440
32;4;1:22.980;201.952;441
23;12;1:24.110;199.239;442
57;9;1:23.560;200.550;443
16;14;1:24.287;198.820;444
59;15;1:24.291;198.811;445
64;13;1:24.186;199.059;446
57;16;1:25.191;196.710;447
61;18;1:25.260;196.551;448
22;7;1:23.483;200.735;449
37;11;1:24.003;199.492;450
18;17;1:25.207;196.673;451
6;20;1:26.238;194.322;452
7;6;1:23.475;200.754;453
6;19;1:26.094;194.647;454
4;21;1:26.323;194.131;455
44;1;1:15.284;159.715;457
28;2;1:15.372;159.528;458
47;4;1:16.183;157.830;459
54;5;1:16.254;157.683;460
39;3;1:16.006;158.198;461
30;12;1:17.041;156.072;462
40;7;1:16.658;156.852;463
62;6;1:16.592;156.987;464
73;10;1:16.867;156.426;465
69;13;1:17.080;155.993;466
40;9;1:16.802;156.558;467
70;11;1:16.991;156.174;468
72;14;1:17.100;155.953;469
75;8;1:16.786;156.591;470
53;18;1:17.495;155.158;471
47;17;1:17.231;155.688;472
74;15;1:17.183;155.785;473
63;16;1:17.223;155.704;474
70;20;1:17.689;154.770;475
34;19;1:17.678;154.792;476
17;21;1:18.998;152.206;477
37;2;1:16.494;205.239;479
19;3;1:16.696;204.699;480
67;11;1:17.947;201.413;481
67;13;1:18.368;200.331;482
21;5;1:16.861;204.259;483
47;12;1:18.035;201.186;484
46;1;1:16.367;205.580;485
38;10;1:17.910;201.509;486
47;9;1:17.618;202.267;487
42;6;1:17.156;203.478;488
36;15;1:18.780;199.284;489
62;14;1:18.543;199.885;490
12;17;1:19.092;198.497;491
9;19;1:19.375;197.790;492
21;18;1:19.254;198.092;493
19;16;1:18.981;198.776;494
19;8;1:17.529;202.499;495
20;20;1:19.452;197.598;496
6;21;1:20.092;196.019;497
22;4;1:16.849;204.291;499
22;7;1:17.411;202.808;500
20;2;1:13.222;206.101;501
21;3;1:13.257;206.003;502
50;4;1:13.380;205.658;503
49;1;1:13.117;206.397;504
67;7;1:13.998;203.940;505
30;10;1:14.016;203.891;506
57;8;1:14.004;203.924;507
53;6;1:13.862;204.316;508
67;9;1:14.009;203.910;509
41;13;1:14.486;202.604;510
55;12;1:14.066;203.753;511
42;14;1:14.703;202.015;512
66;16;1:15.092;200.969;513
49;15;1:14.858;201.597;514
65;18;1:15.902;198.824;515
34;11;1:14.066;203.753;516
64;17;1:15.426;200.079;517
20;5;1:13.414;205.562;518
8;19;1:16.680;196.807;519
20;2;1:16.207;208.374;523
42;1;1:16.099;208.670;524
39;4;1:16.587;207.340;525
44;10;1:17.153;205.819;526
70;7;1:16.875;206.563;527
70;5;1:16.703;207.027;528
36;3;1:16.495;207.590;529
70;6;1:16.770;206.846;530
69;9;1:17.011;206.199;531
68;8;1:16.966;206.319;532
68;12;1:17.220;205.641;533
69;14;1:17.249;205.563;534
68;15;1:17.447;205.038;535
69;13;1:17.240;205.587;536
69;11;1:17.206;205.678;537
39;16;1:17.796;204.118;538
27;18;1:18.091;203.347;539
51;17;1:17.934;203.757;540
27;19;1:18.955;201.122;541
17;1;1:20.638;229.514;545
35;3;1:21.117;228.159;546
11;4;1:21.675;226.600;547
14;6;1:22.105;225.413;548
17;2;1:20.858;228.890;549
17;5;1:21.991;225.727;550
11;9;1:22.552;224.193;551
13;7;1:22.136;225.328;552
28;13;1:23.387;221.948;553
29;16;1:23.581;221.433;554
40;12;1:23.118;222.666;555
49;11;1:22.896;223.262;556
57;10;1:22.693;223.810;557
42;14;1:23.413;221.879;558
56;21;1:24.390;219.310;559
46;17;1:23.628;221.308;560
17;18;1:23.708;221.097;561
26;20;1:24.144;219.951;562
19;15;1:23.570;221.462;563
12;8;1:22.510;224.307;564
16;22;1:25.015;217.698;565
6;19;1:23.767;220.941;566
35;2;1:33.231;198.783;567
34;1;1:32.853;199.592;568
29;8;1:34.449;196.220;569
33;5;1:34.235;196.665;570
48;6;1:34.316;196.496;571
49;7;1:34.354;196.417;572
49;9;1:34.451;196.216;573
48;11;1:34.603;195.900;574
29;3;1:33.401;198.421;575
48;12;1:34.893;195.302;576
37;14;1:35.632;193.792;577
46;13;1:35.282;194.504;578
29;10;1:34.496;196.122;579
32;4;1:33.904;197.359;580
18;16;1:37.401;190.273;581
18;15;1:36.195;192.658;582
13;17;1:42.783;180.309;583
2;18;2:20.041;132.338;584
2;19;2:25.798;127.112;585
2;20;2:50.950;108.410;586
2;21;3:01.900;101.884;587
2;22;3:22.300;91.610;588
13;2;1:20.171;196.724;589
70;1;1:20.047;197.029;590
16;5;1:20.582;195.721;591
49;3;1:20.324;196.349;592
40;4;1:20.419;196.117;593
69;9;1:20.961;194.804;594
68;6;1:20.672;195.502;595
69;8;1:20.935;194.867;596
63;7;1:20.915;194.915;597
48;12;1:21.253;194.104;598
67;14;1:21.553;193.390;599
66;15;1:21.695;193.054;600
37;11;1:20.981;194.756;601
49;13;1:21.264;194.078;602
66;10;1:20.980;194.759;603
65;16;1:21.915;192.536;604
67;19;1:22.263;191.721;605
34;17;1:22.004;192.327;606
35;20;1:22.410;191.379;607
39;18;1:22.166;191.948;608
25;21;1:22.906;190.234;609
4;22;1:26.741;181.824;610
18;2;1:27.922;218.566;611
57;1;1:27.295;220.136;612
39;4;1:28.070;218.199;613
39;5;1:28.319;217.583;614
17;3;1:27.963;218.464;615
20;7;1:28.603;216.886;616
37;6;1:28.536;217.050;617
11;11;1:28.918;216.118;618
56;9;1:28.793;216.422;619
54;13;1:29.068;215.754;620
55;8;1:28.737;216.559;621
55;12;1:28.924;216.103;622
34;10;1:28.873;216.227;623
38;17;1:29.658;214.334;624
56;16;1:29.563;214.561;625
39;14;1:29.459;214.811;626
35;15;1:29.513;214.681;627
56;18;1:29.916;213.719;628
39;19;1:29.983;213.560;629
21;22;1:30.951;211.287;630
52;20;1:30.617;212.066;631
4;21;1:30.808;211.620;632
15;1;1:22.871;251.653;633
17;2;1:22.936;251.456;634
21;3;1:23.370;250.147;635
19;4;1:23.681;249.217;636
22;5;1:23.908;248.543;637
52;8;1:24.472;246.884;638
53;7;1:24.226;247.605;639
32;9;1:24.532;246.708;640
46;13;1:24.824;245.859;641
52;12;1:24.767;246.024;642
49;10;1:24.622;246.446;643
32;14;1:24.849;245.787;644
42;16;1:25.000;245.350;645
46;17;1:25.116;245.016;646
49;15;1:24.951;245.492;647
49;11;1:24.669;246.309;648
45;19;1:25.373;244.278;649
47;18;1:25.313;244.450;650
30;20;1:25.377;244.267;651
34;21;1:25.478;243.978;652
8;6;1:23.971;248.357;653
12;2;1:48.095;233.261;655
34;1;1:48.036;233.388;656
44;3;1:48.182;233.073;657
41;4;1:48.215;233.002;658
33;5;1:48.663;232.042;659
29;9;1:49.769;229.704;660
12;11;1:50.049;229.119;661
21;8;1:49.600;230.058;662
32;6;1:48.894;231.549;663
43;10;1:50.022;229.175;664
43;7;1:48.990;231.345;665
40;13;1:50.730;227.710;666
43;12;1:50.678;227.817;667
29;15;1:50.902;227.357;668
32;14;1:50.886;227.390;669
43;19;1:51.391;226.359;670
30;20;1:51.648;225.838;671
22;16;1:51.141;226.868;672
18;18;1:51.270;226.605;673
24;17;1:51.156;226.837;674
4;21;1:52.724;223.682;675
27;1;1:28.193;186.259;677
34;9;1:29.655;183.222;678
29;8;1:29.619;183.295;679
56;11;1:30.086;182.345;680
33;12;1:30.387;181.738;681
32;7;1:29.588;183.359;682
32;4;1:29.021;184.527;683
54;18;1:31.891;178.763;684
35;13;1:30.653;181.205;685
57;15;1:31.060;180.395;686
58;19;1:31.951;178.647;687
33;20;1:32.130;178.300;688
55;21;1:32.414;177.752;689
28;6;1:29.084;184.396;690
54;16;1:31.507;179.514;691
33;14;1:30.865;180.782;692
27;17;1:31.803;178.935;693
27;10;1:29.926;182.670;694
31;5;1:29.057;184.452;695
30;3;1:28.940;184.695;696
25;2;1:28.511;185.590;697
19;22;2:05.636;130.749;698
52;3;1:38.285;199.660;699
54;2;1:37.991;200.259;700
56;1;1:37.454;201.362;701
52;13;1:39.890;196.452;702
39;5;1:38.913;198.392;703
53;11;1:39.654;196.917;704
55;7;1:39.325;197.569;705
55;10;1:39.640;196.945;706
52;8;1:39.331;197.557;707
55;9;1:39.371;197.478;708
39;4;1:38.900;198.418;709
54;12;1:39.743;196.741;710
55;14;1:39.911;196.410;711
54;15;1:40.126;195.989;712
55;16;1:40.516;195.228;713
54;6;1:39.233;197.752;714
52;17;1:40.764;194.748;715
32;18;1:40.926;194.435;716
22;19;1:43.131;190.278;717
25;20;1:44.062;188.576;718
22;21;1:47.603;182.370;719
9;22;1:51.765;175.579;720
66;1;1:12.445;214.126;721
71;3;1:12.584;213.716;722
59;6;1:13.150;212.062;723
56;7;1:13.159;212.036;724
61;4;1:12.686;213.416;725
53;10;1:13.452;211.190;726
58;2;1:12.506;213.946;727
68;8;1:13.361;211.452;728
22;13;1:14.195;209.076;729
69;5;1:13.116;212.161;730
65;9;1:13.368;211.432;731
39;19;1:14.914;207.069;732
56;11;1:13.643;210.643;733
64;14;1:14.329;208.699;734
13;20;1:15.202;206.276;735
32;17;1:14.742;207.545;736
31;18;1:14.891;207.133;737
18;16;1:14.423;208.435;738
20;12;1:14.039;209.516;739
13;15;1:14.398;208.505;740
2;21;1:50.404;140.505;741
2;22;2:02.680;126.446;742
21;3;1:32.534;210.551;743
38;2;1:32.523;210.576;744
29;8;1:32.864;209.803;745
39;5;1:32.729;210.109;746
21;7;1:32.771;210.013;747
25;4;1:32.660;210.265;748
42;1;1:32.408;210.838;749
40;10;1:33.212;209.020;750
28;6;1:32.739;210.086;751
26;11;1:33.376;208.653;752
26;12;1:33.480;208.421;753
26;14;1:33.772;207.772;754
45;9;1:33.108;209.253;755
25;16;1:34.112;207.021;756
14;15;1:33.840;207.621;757
24;18;1:34.852;205.406;758
41;19;1:35.940;203.076;759
17;20;1:37.104;200.642;760
11;21;1:38.302;198.197;761
20;13;1:33.694;207.945;762
15;17;1:34.320;206.564;763
16;2;1:35.294;209.402;765
45;1;1:34.803;210.487;766
35;4;1:35.604;208.723;767
39;3;1:35.566;208.806;768
51;8;1:35.954;207.962;769
44;5;1:35.647;208.629;770
43;9;1:36.002;207.858;771
34;6;1:35.686;208.544;772
52;11;1:36.380;207.042;773
54;10;1:36.188;207.456;774
40;16;1:37.387;204.902;775
34;18;1:38.198;203.209;776
39;19;1:39.510;200.530;777
14;20;1:40.199;199.151;778
41;7;1:35.751;208.403;779
25;14;1:37.313;205.057;780
18;21;1:42.833;194.050;781
14;13;1:36.867;206.002;782
12;12;1:36.771;206.206;783
4;17;1:38.078;203.458;784
6;15;1:37.366;204.946;785
49;2;1:26.189;221.499;787
57;1;1:26.045;221.869;788
45;10;1:27.810;217.410;789
49;7;1:27.700;217.683;790
53;5;1:27.561;218.028;791
56;13;1:28.321;216.152;792
32;6;1:27.690;217.707;793
32;12;1:28.250;216.326;794
26;14;1:28.367;216.039;795
17;8;1:27.799;217.437;796
53;15;1:29.238;213.931;797
54;17;1:30.574;210.775;798
49;18;1:33.737;203.663;799
45;4;1:27.464;218.270;800
31;16;1:29.687;212.860;801
25;11;1:27.988;216.970;802
27;3;1:27.180;218.981;803
19;9;1:27.800;217.435;804
4;19;1:41.351;188.363;805
19;2;1:24.624;210.961;809
23;1;1:24.569;211.098;810
22;4;1:25.096;209.791;811
12;10;1:25.528;208.731;812
49;3;1:25.027;209.961;813
39;9;1:25.488;208.829;814
29;6;1:25.347;209.174;815
43;7;1:25.353;209.159;816
45;5;1:25.316;209.250;817
12;13;1:26.129;207.275;818
30;15;1:26.418;206.581;819
53;8;1:25.438;208.951;820
53;12;1:25.996;207.595;821
43;11;1:25.679;208.363;822
57;14;1:26.248;206.989;823
53;18;1:27.160;204.823;824
41;17;1:26.855;205.542;825
40;20;1:29.100;200.363;826
30;16;1:26.759;205.770;827
15;21;1:31.032;196.111;828
4;19;1:28.039;202.778;829
39;1;1:32.099;201.226;831
37;3;1:32.532;200.285;832
19;5;1:33.099;199.065;833
43;2;1:32.472;200.415;834
59;9;1:33.952;197.258;835
46;4;1:32.964;199.354;836
48;7;1:33.579;198.044;837
38;12;1:34.037;197.079;838
58;10;1:33.953;197.256;839
47;11;1:34.035;197.084;840
57;14;1:34.091;196.966;841
41;18;1:35.504;194.052;842
35;17;1:35.428;194.207;843
27;8;1:33.607;197.985;844
47;6;1:33.571;198.061;845
26;19;1:36.706;191.640;846
21;20;1:37.214;190.639;847
9;13;1:34.042;197.069;848
16;15;1:34.553;196.004;849
11;16;1:35.415;194.233;850
2;21;2:24.500;128.254;851
39;2;1:16.723;217.108;853
43;3;1:16.922;216.546;854
38;4;1:17.083;216.094;855
42;1;1:16.648;217.320;856
40;5;1:17.357;215.328;857
40;6;1:17.367;215.301;858
40;7;1:17.399;215.212;859
49;10;1:17.869;213.913;860
61;11;1:17.900;213.827;861
42;13;1:18.465;212.288;862
51;8;1:17.861;213.935;863
62;12;1:18.050;213.417;864
59;15;1:18.516;212.150;865
55;9;1:17.862;213.932;866
52;14;1:18.488;212.226;867
28;18;1:19.265;210.145;868
42;21;1:20.411;207.150;869
28;20;1:19.532;209.440;870
41;16;1:18.541;212.082;871
24;17;1:18.621;211.867;872
17;19;1:19.482;209.571;873
9;22;1:22.389;202.177;874
11;3;1:15.671;158.898;875
20;6;1:16.008;158.193;876
45;19;1:17.849;154.452;877
67;12;1:17.320;155.509;878
74;1;1:15.143;160.014;879
58;5;1:15.919;158.379;880
72;11;1:17.319;155.511;881
72;15;1:17.540;155.068;882
40;7;1:16.612;156.946;883
75;17;1:17.660;154.828;884
59;10;1:17.300;155.549;885
77;16;1:17.603;154.942;886
77;14;1:17.481;155.186;887
74;18;1:17.767;154.615;888
71;13;1:17.329;155.491;889
72;22;1:19.104;152.002;890
30;8;1:17.180;155.791;891
19;20;1:17.930;154.292;892
43;9;1:17.227;155.696;893
19;2;1:15.325;159.628;894
23;4;1:15.680;158.879;895
39;21;1:18.793;152.602;896
21;1;1:21.599;226.811;897
53;2;1:21.934;225.884;898
15;5;1:22.461;224.440;899
42;3;1:22.238;225.049;900
43;4;1:22.371;224.685;901
38;8;1:22.780;223.575;902
43;6;1:22.706;223.775;903
46;10;1:22.921;223.195;904
47;9;1:22.916;223.209;905
38;11;1:23.224;222.382;906
19;7;1:22.744;223.673;907
42;14;1:23.995;220.341;908
25;15;1:24.221;219.750;909
30;12;1:23.712;221.086;910
