q1;qualifyId
1:26.572;1
1:26.103;2
1:25.664;3
1:25.994;4
1:25.960;5
1:26.427;6
1:26.295;7
1:26.381;8
1:26.919;9
1:26.702;10
1:26.369;11
1:26.907;12
1:26.712;13
1:26.891;14
1:26.914;15
1:26.140;16
1:27.207;17
1:27.446;18
1:27.859;19
1:28.208;20
1:28.330;21
1:29.059;22
1:35.347;23
1:35.645;24
1:35.227;25
1:35.392;26
1:35.205;27
1:35.794;28
1:35.729;29
1:35.440;30
1:35.983;31
1:35.891;32
1:35.847;33
1:36.058;34
1:36.074;35
1:36.198;36
1:36.111;37
1:35.843;38
1:36.240;39
1:36.388;40
1:36.677;41
1:37.087;42
1:37.101;43
1:37.481;44
1:32.893;45
1:31.937;46
1:32.750;47
1:32.652;48
1:33.057;49
1:33.137;50
1:32.493;51
1:32.903;52
1:32.793;53
1:32.947;54
1:33.194;55
1:32.944;56
1:32.800;57
1:32.975;58
1:33.415;59
1:33.386;60
1:33.433;61
1:33.501;62
1:33.562;63
1:33.845;64
1:34.140;65
1:35.725;66
1:20.701;67
1:21.347;68
1:21.528;69
1:21.423;70
1:21.366;71
1:21.430;72
1:21.494;73
1:21.158;74
1:21.466;75
1:21.409;76
1:21.548;77
1:21.690;78
1:21.757;79
1:21.427;80
1:21.472;81
1:21.540;82
1:21.810;83
1:22.108;84
1:22.516;85
1:23.224;86
1:23.318;87
1:23.496;88
1:25.994;89
1:26.736;90
1:26.192;91
1:26.457;92
1:26.761;93
1:26.773;94
1:26.836;95
1:26.695;96
1:27.107;97
1:26.939;98
1:27.367;99
1:27.355;100
1:27.428;101
1:27.442;102
1:26.614;103
1:27.547;104
1:27.568;105
1:27.621;106
1:27.807;107
1:28.325;108
1:15.190;109
1:15.717;110
1:15.582;111
1:15.295;112
1:15.977;113
1:15.935;114
1:16.646;115
1:16.306;116
1:16.074;117
1:16.086;118
1:16.285;119
1:16.259;120
1:16.650;121
1:16.756;122
1:16.208;123
1:16.806;124
1:16.933;125
1:16.955;126
1:17.225;127
1:17.823;128
1:16.909;129
1:17.471;130
1:17.301;131
1:17.415;132
1:17.991;133
1:17.231;134
1:17.287;135
1:18.082;136
1:18.256;137
1:17.582;138
1:18.321;139
1:17.638;140
1:18.168;141
1:18.039;142
1:18.505;143
1:18.916;144
1:19.108;145
1:19.165;146
1:23.565;147
1:15.133;149
1:15.024;150
1:15.634;151
1:15.754;152
1:15.521;153
1:15.965;154
1:15.687;155
1:16.020;156
1:15.802;157
1:15.727;158
1:15.848;159
1:16.006;160
1:15.918;161
1:16.072;162
1:16.085;163
1:16.243;164
1:16.306;165
1:16.330;166
1:16.971;167
1:17.053;168
1:19.957;169
1:20.982;170
1:20.370;171
1:20.288;172
1:21.022;173
1:20.998;174
1:20.818;175
1:20.318;176
1:20.676;177
1:20.444;178
1:21.224;179
1:20.893;180
1:20.584;181
1:21.145;182
1:21.407;183
1:21.512;184
1:21.631;185
1:21.668;186
1:21.786;187
1:21.885;188
1:15.218;189
1:14.921;190
1:15.476;191
1:15.560;192
1:15.917;193
1:15.201;194
1:15.985;195
1:15.900;196
1:15.532;197
1:15.975;198
1:15.560;199
1:15.596;200
1:15.863;201
1:15.993;202
1:15.927;203
1:16.083;204
1:16.189;205
1:16.246;206
1:16.657;207
1:16.963;208
1:19.376;209
1:19.945;210
1:19.578;211
1:20.053;212
1:19.980;213
1:20.006;214
1:20.229;215
1:20.073;216
1:19.942;217
1:20.583;218
1:20.157;219
1:20.888;220
1:20.505;221
1:20.640;222
1:20.748;223
1:21.045;224
1:21.085;225
1:21.332;226
1:21.670;227
1:22.113;228
1:38.176;229
1:38.464;230
1:38.347;231
1:38.703;232
1:38.656;233
1:38.141;234
1:37.948;235
1:38.738;236
1:38.595;237
1:38.622;238
1:38.667;239
1:38.268;240
1:38.532;241
1:38.559;242
1:38.787;243
1:38.880;244
1:39.235;245
1:39.268;246
1:39.811;247
1:39.943;248
1:46.887;249
1:46.873;250
1:46.812;251
1:46.960;252
1:47.419;253
1:47.154;254
1:47.270;255
1:47.093;256
1:46.777;257
1:47.152;258
1:47.400;259
1:47.052;260
1:47.359;261
1:47.132;262
1:47.503;263
1:48.153;264
1:48.211;265
1:48.226;266
1:48.268;267
1:48.447;268
1:35.464;269
1:35.214;270
1:36.001;271
1:35.543;272
1:35.485;273
1:35.536;274
1:35.906;275
1:36.297;276
1:35.737;277
1:35.709;278
1:35.553;279
1:36.280;280
1:36.485;281
1:35.965;282
1:35.394;283
1:36.510;284
1:36.630;285
1:36.653;286
1:37.006;287
1:37.417;288
1:44.519;289
1:44.501;290
1:44.282;291
1:44.740;292
1:44.311;293
1:45.548;294
1:45.042;295
1:45.184;296
1:45.103;297
1:45.127;298
1:45.642;299
1:45.660;300
1:45.493;301
1:46.028;302
1:44.971;303
1:46.037;304
1:46.389;305
1:46.583;306
1:47.940;307
1:18.071;309
1:18.160;310
1:18.220;311
1:18.290;312
1:18.110;313
1:18.684;314
1:18.501;315
1:17.945;316
1:18.559;317
1:18.593;318
1:18.303;319
1:18.300;320
1:18.372;321
1:18.640;322
1:18.740;323
1:18.835;324
1:18.882;325
1:19.100;326
1:19.163;327
1:19.910;328
1:35.566;329
1:35.983;330
1:35.971;331
1:35.769;332
1:35.623;333
1:36.238;334
1:36.224;335
1:35.752;336
1:36.104;337
1:36.239;338
1:36.029;339
1:36.503;340
1:36.210;341
1:36.640;342
1:36.434;343
1:36.731;344
1:36.863;345
1:37.053;346
1:37.730;347
1:37.739;348
1:11.830;349
1:12.226;350
1:12.083;351
1:12.213;352
1:12.366;353
1:12.214;354
1:12.390;355
1:12.371;356
1:12.498;357
1:12.223;358
1:12.348;359
1:12.409;360
1:12.381;361
1:12.690;362
1:12.548;363
1:12.800;364
1:12.810;365
1:13.002;366
1:13.426;367
1:13.508;368
